text,label
Cơ sở Quận 7 của TDTU nằm ở đâu?,GENERAL
Giờ mở cửa của thư viện ở cơ sở Quận 7 là mấy giờ?,GENERAL
Phòng gym ở cơ sở Quận 7 có những loại máy móc nào?,GENERAL
Cơ sở Bảo Lộc của TDTU có những khoa nào?,GENERAL
Địa chỉ chính xác của cơ sở Bảo Lộc là gì?,GENERAL
Khu vực nào ở cơ sở Bảo Lộc thường tổ chức các hoạt động ngoại khóa?,GENERAL
Cơ sở Khánh Hòa của TDTU nằm ở thành phố nào?,GENERAL
Cơ sở Khánh Hòa có ký túc xá không?,GENERAL
Sân vận động ở cơ sở Khánh Hòa có những môn thể thao nào được tổ chức?,GENERAL
Cơ sở Quận 7 có những câu lạc bộ nào hoạt động?,GENERAL
Căn tin ở cơ sở Bảo Lộc bán những món ăn gì?,GENERAL
Cơ sở Khánh Hòa có phòng thực hành cho ngành nào?,GENERAL
Khuôn viên TDTU nằm ở đâu?,GENERAL
Xe bus nào đi ngang qua trường?,GENERAL
Trạm xe bus gần trường nhất ở đâu?,GENERAL
Giờ hoạt động của xe bus nào thuận tiện nhất để đến trường?,GENERAL
Tôi có thể tìm bản đồ khuôn viên trường ở đâu?,GENERAL
"Từ [địa điểm cụ thể], đi xe bus nào đến trường nhanh nhất?",GENERAL
Giá vé xe bus đến trường là bao nhiêu?,GENERAL
Có tuyến xe bus nào đi thẳng đến cổng trường không?,GENERAL
Ở đâu có thể mua vé xe bus tháng?,GENERAL
Thời gian di chuyển bằng xe bus từ [địa điểm cụ thể] đến trường mất bao lâu?,GENERAL
Có ứng dụng nào hỗ trợ tìm đường đi và xe bus đến trường không?,GENERAL
Thông tin về các tuyến xe bus có thể xem ở đâu?,GENERAL
Thư viện TDTU nằm ở tòa nhà nào?,GENERAL
Thư viện mở cửa những ngày nào trong tuần?,GENERAL
Giờ mở cửa hàng ngày của thư viện là mấy giờ?,GENERAL
Thư viện có mở cửa vào cuối tuần không?,GENERAL
Thư viện có bao nhiêu tầng?,GENERAL
Thư viện có khu vực tự học không?,GENERAL
Thư viện có máy tính cho sinh viên sử dụng không?,GENERAL
Thư viện có wifi không?,GENERAL
Thư viện có chỗ sạc pin điện thoại không?,GENERAL
Thư viện có bán văn phòng phẩm không?,GENERAL
Thư viện có chỗ giữ đồ không?,GENERAL
Số điện thoại liên hệ của thư viện là gì?,GENERAL
