text,label
Ngoài mấy cái chứng chỉ trên thì đh TDTU mình còn chấp nhận chứng chỉ tiếng Anh nào khác nữa k ạ?,ACADEMIC
"Quy định về hướng dẫn học bổng, khen thưởng, hỗ trợ người học; học bổng hỗ trợ cho cộng đồng và hỗ trợ khác là gì?",GENERAL
Sân vận động ở cơ sở Khánh Hòa có những môn thể thao nào được tổ chức?,GENERAL
Trang tra cứu trường ký kết kia có update thường xuyên ko nhỉ?,ADMISSION
Ký túc xá có bao nhiêu khu?,GENERAL
Nếu em có thắc mắc thì gửi mail đến sdh@tdtu.edu.vn hả thầy/cô?,ACADEMIC
"Hi ad, mình cần giúp đỡ.",GREETING
Email trường cấp cho sv TDTU mình điền vô đây được không ạ?,ADMISSION
"TDTU có danh sách cụ thể mấy chứng chỉ ""không thông dụng"" đó ko ạ?",ACADEMIC
Điều kiện cụ thể để được xét học bổng là gì vậy thầy/cô?,ACADEMIC
CAIT có lớp học cho sv TDTU mình ko ạ?,GENERAL
"Nếu năm lớp 10, 11 học trường khác nhau thì sao ạ?",ADMISSION
Nhà thi đấu TDTU thường tổ chức những giải đấu nào?,GENERAL
Cho em hỏi về quy chế học vụ thì xem ở đâu ạ?,ACADEMIC
Trung tâm tin học có dạy các lớp ngắn hạn cho sv TDTU ko nhỉ?,GENERAL
Cho em hỏi là nên báo giờ đến trc bao lâu ạ?,ADMISSION
"Vậy tóm lại, để đáp ứng chuẩn đầu ra này thì sv TDTU cần chú trọng những môn học/kỹ năng nào nhất ạ?",ACADEMIC
"Cái ""Căn cước công dân/Mã định danh"" phải nhập đúng y chang trên hệ thống của Bộ GD&ĐT hả thầy/cô?",ADMISSION
"Tui buồn quá, trường có dịch vụ tư vấn tình cảm ko zậy?",OUT_OF_SCOPE
Giấy báo dự thi có cần thiết mang theo ko?,ADMISSION
Trường TDTU tọa lạc tại địa chỉ nào?,GENERAL
Mấy cái PLOs này mình cần nắm vững hết để làm gì vậy thầy/cô?,ACADEMIC
"Hôm nay thèm đồ ngọt quá, recommend quán bánh nào đi ạ?",OUT_OF_SCOPE
Học ở phân hiệu Khánh Hòa thì có khác gì học ở TDTU HCM ko ạ?,ADMISSION
Thư viện có wifi không?,GENERAL
Nếu mình biết tiếng Hàn thì có được tính là ngoại ngữ 2 ở TDTU ko ạ?,ACADEMIC
Vậy điểm TB tích lũy toàn khóa học của sv ko ảnh hưởng gì đến việc xét học bổng à?,ACADEMIC
Xem kết quả thi ở chỗ tra lịch thi luôn hả?,ADMISSION
Giấy tờ cần mang theo nhập học là những gì vậy thầy/cô?,ADMISSION
Có thắc mắc gì thì nên liên hệ qua đâu nhanh nhất ạ?,ACADEMIC
Sơ yếu lý lịch phải xin xác nhận ở đâu mới đúng quy định vậy ạ?,ACADEMIC
Nếu xét đh bằng tiếng Anh thì bắt buộc phải có chứng chỉ ngoại ngữ hả TDTU?,ADMISSION
"Màn hình nào có hướng dẫn vậy, tìm hoài ko thấy?",ADMISSION
Pass email TDTU mặc định là gì ấy nhỉ?,ACADEMIC
Nếu mình là sv TDTU thì mình sẽ hỏi thế này:,ACADEMIC
Thời gian nhập học đến 5h chiều 30/8 là hết hạn luôn đúng ko ạ?,ADMISSION
*   Gu thời trang của Sơn Tùng dạo này đỉnh quá ha?,OUT_OF_SCOPE
Website grad.tdtu.edu.vn có thông tin gì quan trọng cho sv không?,ACADEMIC
Vậy là sv khóa trc 2022 ko cần chuẩn ngoại ngữ đầu ra hả thầy/cô?,ACADEMIC
Mẫu đơn xin học bổng lấy ở đâu vậy ạ?,ACADEMIC
"Đang muốn thử món mới, có ai biết chỗ nào có món độc lạ không?",OUT_OF_SCOPE
Bún đậu mắm tôm chỗ nào best seller?,OUT_OF_SCOPE
Đổi pass xong lỡ quên thì sao ta?,ADMISSION
Có tuyến xe bus nào đi thẳng đến cổng trường không?,GENERAL
Em có ý tưởng tổ chức clb ở trường thì liên hệ Đoàn thanh niên TDTU mình như thế nào ạ?,ACADEMIC
Cái cộng điểm khuyến khích là những loại nào đc cộng vậy thầy cô?,ADMISSION
Phòng y tế mở cửa khi nào?,GENERAL
Hi chatbot!,GREETING
Cho em hỏi web admission.tdtu.edu.vn là chỗ đăng tin tuyển sinh các hệ đh hả thầy/cô?,ADMISSION
"Nếu rớt môn thì tự đóng tiền học lại, học bổng ko cover đúng ko ạ?",ACADEMIC
Sv năm nhất có cần đọc kỹ hết thông tin trên web ko ta?,ADMISSION
"Tui thấy cô đơn quá, làm sao để tìm thấy ý nghĩa cuộc sống?",OUT_OF_SCOPE
"PLO1 nói về đường lối nhà nước, vậy có tài liệu nào tham khảo thêm ko ạ?",ACADEMIC
- Đổi tiền VND ở đâu tiện nhất vậy mn?,ADMISSION
- Sv mới nhập học mà muốn ở tạm KTX thì liên hệ ai?,ADMISSION
Sv muốn hỏi về liên kết quốc tế thì gọi 0935 035 270 hay email nhanh hơn ạ?,ADMISSION
Khu vực nào ở cơ sở Bảo Lộc thường tổ chức các hoạt động ngoại khóa?,GENERAL
Học phí kì 1 năm sau đh là bao nhiêu zậy ạ?,ACADEMIC
Tdtu mình có những phương thức tuyển sinh nào vậy ạ?,ADMISSION
Trường mình có nằm trong mấy cái bảng xếp hạng THE/QS/URAP/ARWU đó ko ạ?,ACADEMIC
Nếu đóng bằng Mobile Banking thì ngân hàng nào cũng được hả thầy/cô?,ACADEMIC
Nếu sv xét bằng điểm THPT thì có cần nộp bản cứng minh chứng cộng điểm khuyến khích không ạ?,ADMISSION
Nếu mình có bài báo chung với thầy cô hướng dẫn mà thầy cô không phải giảng viên cơ hữu TDTU thì có được xét không ạ?,ACADEMIC
Học phí kì 2 này có thay đổi gì so với kì trước ko ạ?,ACADEMIC
