text,label
Hình thức xử lý kỷ luật có những gì?,STUDENT_LIFE
Vi phạm nội quy sẽ bị xử lý như thế nào?,STUDENT_LIFE
Bị cảnh cáo có ảnh hưởng gì không?,STUDENT_LIFE
Sinh viên bị đình chỉ học tập trong trường hợp nào?,STUDENT_LIFE
"Quy định về hướng dẫn học bổng, khen thưởng, hỗ trợ người học; học bổng hỗ trợ cho cộng đồng và hỗ trợ khác từ năm học 2025 - 2026 trở về sau là gì?",GENERAL
Có những loại học bổng nào?,ACADEMIC
Điều kiện để nhận học bổng là gì?,ACADEMIC
Học bổng khuyến khích học tập được xét như thế nào?,ACADEMIC
Mức học bổng tân sinh viên là bao nhiêu?,ACADEMIC
Sinh viên năm nhất xét học bổng theo tiêu chí gì?,ACADEMIC
Có những loại học bổng nào?,ACADEMIC
Điều kiện để nhận học bổng là gì?,ACADEMIC
Học bổng khuyến khích học tập được xét như thế nào?,ACADEMIC
Mức học bổng tân sinh viên là bao nhiêu?,ACADEMIC
Sinh viên năm nhất xét học bổng theo tiêu chí gì?,ACADEMIC
Có những loại học bổng nào?,ACADEMIC
Điều kiện để nhận học bổng là gì?,ACADEMIC
Học bổng khuyến khích học tập được xét như thế nào?,ACADEMIC
Mức học bổng tân sinh viên là bao nhiêu?,ACADEMIC
Sinh viên năm nhất xét học bổng theo tiêu chí gì?,ACADEMIC
Có những loại học bổng nào?,ACADEMIC
Điều kiện để nhận học bổng là gì?,ACADEMIC
Học bổng khuyến khích học tập được xét như thế nào?,ACADEMIC
Mức học bổng tân sinh viên là bao nhiêu?,ACADEMIC
Sinh viên năm nhất xét học bổng theo tiêu chí gì?,ACADEMIC
Có những loại học bổng nào?,ACADEMIC
Điều kiện để nhận học bổng là gì?,ACADEMIC
Học bổng khuyến khích học tập được xét như thế nào?,ACADEMIC
Mức học bổng tân sinh viên là bao nhiêu?,ACADEMIC
Sinh viên năm nhất xét học bổng theo tiêu chí gì?,ACADEMIC
Có những loại học bổng nào?,ACADEMIC
Điều kiện để nhận học bổng là gì?,ACADEMIC
Học bổng khuyến khích học tập được xét như thế nào?,ACADEMIC
