text,label
Chào chatbot!,GREETING
Chào bạn!,GREETING
Hello trường ơi!,GREETING
Hi! Mình có câu hỏi này.,GREETING
"Alo, cho mình hỏi chút.",GREETING
Chào buổi sáng/chiều/tối ạ!,GREETING
Mình chào bạn chatbot nhé!,GREETING
"Hi ad, mình cần giúp đỡ.",GREETING
"Chào bạn, mình là sinh viên trường mình.",GREETING
"Chào chatbot trường, cho mình hỏi thông tin...",GREETING
"Chào bạn, mình có thắc mắc cần giải đáp ạ.",GREETING
"Hello, mình muốn hỏi về...",GREETING
Hi! Tks bạn trước nha.,GREETING
"Chào trường, mình muốn tìm hiểu về...",GREETING
Cho mình xin chào chatbot của trường nha!,GREETING
Chào admin ạ!,GREETING
Em chào thầy/cô ạ.,GREETING
Chào ad!,GREETING
Em chào thầy ạ!,GREETING
Em chào cô ạ!,GREETING
Dạ chào thầy/cô ạ!,GREETING
"Hi ad, em chào admin.",GREETING
"Chào thầy/cô, em xin phép ạ.",GREETING
"Em chào thầy/cô, chúc thầy/cô ngày mới tốt lành ạ!",GREETING
Hi thầy/cô ạ!,GREETING
Chào ad nha!,GREETING
"Chào thầy cô ạ, em có câu hỏi...",GREETING
Dạ em chào thầy/cô ạ!,GREETING
Hi ad! Tks ad nhìu ạ!,GREETING
"Em chào thầy/cô ạ, xin phép làm phiền thầy/cô ạ.",GREETING
"Chào thầy/cô, em muốn hỏi một chút ạ.",GREETING
"Chào anh/chị, cho em xin phép hỏi thông tin về...",GREETING
"Chào bạn, mình có một thắc mắc nhỏ cần giải đáp.",GREETING
"Hi ad, cho em hỏi cái này với ạ.",GREETING
"Chào ad, giúp em vụ này với ạ, em đang cần gấp.",GREETING
"Dạ chào trường, em muốn hỏi về vấn đề học phí ạ.",GREETING
Cho em hỏi xíu về thủ tục đăng ký môn học với ạ.,GREETING
"Alo ad ơi, em cần hỗ trợ về tài khoản sinh viên.",GREETING
"Chào bạn, mình muốn tìm hiểu về chương trình trao đổi sinh viên.",GREETING
"Ad ơi, help me! Em đang rối vụ này quá.",GREETING
Cho em hỏi cái này được không ạ? Tks ad nhiều!,GREETING
"Xin chào, em có một câu hỏi liên quan đến...",GREETING
"Chào mọi người, mình cần hỏi về lịch thi.",GREETING
"Hi mọi người, cho mình hỏi chút xíu nha.",GREETING
"Ad ơi, cứu em với, em quên mất deadline rồi!",GREETING
Chào buổi sáng chatbot!,GREETING
Buổi sáng tốt lành ạ!,GREETING
Chào buổi sáng thầy/cô chatbot!,GREETING
Good morning!,GREETING
Hi chatbot!,GREETING
Alo buổi sáng ad!,GREETING
Chào buổi sáng nha!,GREETING
Sáng nay mình có gì mới không chatbot?,GREETING
"Chào buổi sáng, tks chatbot!",GREETING
Buổi sáng vui vẻ!,GREETING
Hi ad! Chào buổi sáng!,GREETING
"Chào buổi sáng, chatbot ơi!",GREETING
"Good morning chatbot, have a nice day!",GREETING
"Chào buổi sáng, chatbot. Hôm nay trường có thông báo gì không ạ?",GREETING
Chào buổi sáng nha chatbot iu dấu!,GREETING
Cảm ơn bạn nhiều ạ!,GREETING
Em cảm ơn thầy/cô ạ.,GREETING
Thanks nhiều nha!,GREETING
Tks ad nha!,GREETING
"Oke, em hiểu rồi ạ, cảm ơn nhiều!",GREETING
"Tuyệt vời, em cảm ơn!",GREETING
"Dạ, cảm ơn bạn nhiều lắm!",GREETING
"Okela, tks bạn nhìu!",GREETING
"Đã rõ ạ, em cảm ơn!",GREETING
"Hi ad, tks ad nhìu nha!",GREETING
Cảm ơn bạn đã hỗ trợ!,GREETING
Dạ em cảm ơn ạ!,GREETING
"Oke em hiểu rồi, tks!",GREETING
Thanks bạn rất nhiều vì đã giúp!,GREETING
Em cảm ơn chatbot nhiều ạ!,GREETING
"Chào chatbot, em cảm ơn ạ, tạm biệt!",GREETING
Dạ em chào chatbot nha.,GREETING
"Tạm biệt, chatbot của trường!",GREETING
"Cảm ơn chatbot nhiều, em đi đây ạ.",GREETING
"Tks chatbot, bye bye!",GREETING
"Oke chatbot, hẹn gặp lại sau nhé.",GREETING
"Bye chatbot, có gì em hỏi sau ạ!",GREETING
"Dạ vâng, em chào admin ạ.",GREETING
"Hi chatbot, em off đây.",GREETING
"Tks ad nhìu nha, byeee!",GREETING
"Oke la, tạm biệt bot!",GREETING
"Em cảm ơn chatbot, pp ạ!",GREETING
"Hẹn chatbot sớm thôi, bye!",GREETING
"Dạ em chào chatbot, chúc chatbot một ngày tốt lành!",GREETING
"Tạm biệt chatbot nha, em đi học đây ạ!",GREETING
