text,label
Hello bot!,OUT_OF_SCOPE
Hi bro!,OUT_OF_SCOPE
Chào bạn nha!,OUT_OF_SCOPE
Bot tên gì á?,OUT_OF_SCOPE
"Ê bot, khỏe không?",OUT_OF_SCOPE
Dạo này bot làm gì?,OUT_OF_SCOPE
Hello buổi sáng!,OUT_OF_SCOPE
"""Hi"" có nghĩa là gì zậy?",OUT_OF_SCOPE
Chào bạn buổi chiều!,OUT_OF_SCOPE
"""Hi"" dịch ra tiếng Việt là gì ta?",OUT_OF_SCOPE
Nay bot có gì vui không?,OUT_OF_SCOPE
Hello there!,OUT_OF_SCOPE
"""Hi"" có phải là chào hỏi hông?",OUT_OF_SCOPE
Bot hay chào mọi người thế nào?,OUT_OF_SCOPE
Chào bạn tối muộn!,OUT_OF_SCOPE
"""Hi"" có thông dụng hơn ""Hello"" không?",OUT_OF_SCOPE
Hôm nay bot thấy thế nào?,OUT_OF_SCOPE
"""Hello"" có phải là hơi trang trọng quá không?",OUT_OF_SCOPE
Chào hỏi kiểu teen teen sao ta?,OUT_OF_SCOPE
Bot có hay dùng emoji khi chào không?,OUT_OF_SCOPE
Hôm nay có nắng hong zạ?,OUT_OF_SCOPE
"Trời dạo này ẩm ương quá à, bực ghê!",OUT_OF_SCOPE
Nhiệt độ ngoài trời bi giờ là nhiêu á?,OUT_OF_SCOPE
Tối nay có mưa bão gì không ta?,OUT_OF_SCOPE
Thời tiết này mà đi chill thì chỗ nào hợp lý nhể?,OUT_OF_SCOPE
"Nay trời âm u, chán đời ghê á!",OUT_OF_SCOPE
"Mấy nay Sài Gòn nóng muốn xỉu, chịu hông nổi lun á!",OUT_OF_SCOPE
Dự báo thời tiết tuần này có gì hot không?,OUT_OF_SCOPE
Khi nào thì hết cái đợt nóng này zạ?,OUT_OF_SCOPE
Hôm nay có nên mặc áo khoác không ta?,OUT_OF_SCOPE
"Đang tính đi biển, mà thấy bảo có bão, huhu!",OUT_OF_SCOPE
Thời tiết kiểu này dễ bị cảm lắm á nha!,OUT_OF_SCOPE
Mấy giờ thì trời mưa zạ?,OUT_OF_SCOPE
Tình hình climate change ở VN mình sao rồi á?,OUT_OF_SCOPE
Có app dự báo thời tiết nào xịn xò hong chỉ tui với!,OUT_OF_SCOPE
Nhiệt độ này mà ăn kem thì bá cháy!,OUT_OF_SCOPE
"Hôm nay trời đẹp, có nên đi ""đu đưa"" không ta?",OUT_OF_SCOPE
"Dạo này thời tiết thất thường quá, khó chịu ghê!",OUT_OF_SCOPE
"Mưa riết rồi đường ngập hết trơn, nản!",OUT_OF_SCOPE
"Đang ở mood ""thời tiết Đà Lạt"", ai hiểu hông?",OUT_OF_SCOPE
Trump giờ làm gì rồi nhỉ?,OUT_OF_SCOPE
Biden dạo này có tweet gì hot ko?,OUT_OF_SCOPE
Mấy ông chính trị gia có hay dùng meme ko ta?,OUT_OF_SCOPE
Ông Putin có chơi TikTok ko bro?,OUT_OF_SCOPE
Có khi nào có WWIII ko mng?,OUT_OF_SCOPE
Mấy vụ chính trị căng thẳng dã man.,OUT_OF_SCOPE
Tình hình Biển Đông dạo này sao á?,OUT_OF_SCOPE
Có khi nào AI thay thế mấy ông lãnh đạo ko?,OUT_OF_SCOPE
Election năm sau bên US có drama gì ko?,OUT_OF_SCOPE
Chính trị Việt Nam dạo này có gì mới ko?,OUT_OF_SCOPE
Mấy ông tổng thống có bí kíp gì để giữ dáng ko?,OUT_OF_SCOPE
Chiến tranh Ukraine bao giờ end game vậy?,OUT_OF_SCOPE
Mấy ông lãnh đạo thế giới có hay đi bar ko?,OUT_OF_SCOPE
Chính sách mới của chính phủ có ảnh hưởng gì đến giới trẻ ko?,OUT_OF_SCOPE
Mấy vụ scandal chính trị có khi nào là fake news ko?,OUT_OF_SCOPE
Mấy ông chính trị gia có hay xem phim Marvel ko?,OUT_OF_SCOPE
Mấy cuộc họp thượng đỉnh có khi nào cãi nhau chí chóe ko?,OUT_OF_SCOPE
Chính trị có phải là một trò hề ko bro? (just kidding),OUT_OF_SCOPE
Ông Tập Cận Bình có hay chơi game ko?,OUT_OF_SCOPE
Mấy vụ chiến tranh có khi nào do mấy ông bốc đồng gây ra ko?,OUT_OF_SCOPE
*   Sơn Tùng có album mới chưa zậy?,OUT_OF_SCOPE
*   Blackpink bao giờ comeback ạ? Hóng quá trời!,OUT_OF_SCOPE
"*   Nghe đồn Sơn Tùng đang hẹn hò, true không ad?",OUT_OF_SCOPE
*   Ad nghĩ ai đẹp trai/xinh gái nhất showbiz Việt?,OUT_OF_SCOPE
*   Blackpink có concert ở VN không ad ơi?,OUT_OF_SCOPE
*   Bài hát mới của Tùng có drama gì không ad?,OUT_OF_SCOPE
*   Ad thích bài nào của Blackpink nhất?,OUT_OF_SCOPE
*   Ai giàu nhất team Sơn Tùng M-TP Entertainment?,OUT_OF_SCOPE
*   Blackpink có hay đi ăn vặt ở Hàn không ad?,OUT_OF_SCOPE
*   Sơn Tùng có hay lướt TikTok không ta?,OUT_OF_SCOPE
*   Idol nào của ad? Thật lòng đi!,OUT_OF_SCOPE
*   Blackpink có thân với idol Kpop nào khác không?,OUT_OF_SCOPE
*   Gu thời trang của Sơn Tùng dạo này đỉnh quá ha?,OUT_OF_SCOPE
*   MV mới của Blackpink đầu tư cỡ nào ad?,OUT_OF_SCOPE
*   Sơn Tùng có bí quyết gì để giữ dáng không?,OUT_OF_SCOPE
*   Blackpink có dự định lấn sân sang diễn xuất không ad?,OUT_OF_SCOPE
*   Ad có biết lịch trình của Sơn Tùng tuần tới không? Spoil xíu đi!,OUT_OF_SCOPE
*   Jennie (Blackpink) có phim mới không ad?,OUT_OF_SCOPE
"*   Ngoài ca hát, Sơn Tùng còn tài lẻ gì nữa không?",OUT_OF_SCOPE
"*   Ad nghĩ ai là ""it girl"" của giới trẻ hiện nay?",OUT_OF_SCOPE
1+1=??? nhanh nào!,OUT_OF_SCOPE
Trái Đất mình hình gì á? Donut hả? :)),OUT_OF_SCOPE
Ai là người đầu tiên đặt chân lên Mặt Trăng zạ?,OUT_OF_SCOPE
Napoleon cao bao nhiêu mét vại?,OUT_OF_SCOPE
Kim tự tháp Giza xây năm nào ta?,OUT_OF_SCOPE
Ai phát minh ra điện? Edison hay Tesla?,OUT_OF_SCOPE
Công thức tính diện tích hình tròn là gì ấy nhỉ? Quên béng rồi.,OUT_OF_SCOPE
Nước mình giành độc lập năm nào ấy nhỉ? Mấy bạn Gen Z hay quên lém.,OUT_OF_SCOPE
"Ai viết ""Romeo và Juliet"" zạ?",OUT_OF_SCOPE
Bảng tuần hoàn hóa học có bao nhiêu nguyên tố?,OUT_OF_SCOPE
Ai là tổng thống đầu tiên của nước Mỹ?,OUT_OF_SCOPE
"Ai vẽ bức tranh ""Mona Lisa""?",OUT_OF_SCOPE
Đại suy thoái kinh tế thế giới bắt đầu từ năm nào?,OUT_OF_SCOPE
Ai là tác giả của thuyết tương đối?,OUT_OF_SCOPE
Cái gì to nhất vũ trụ?,OUT_OF_SCOPE
Ai là người Việt Nam đầu tiên bay vào vũ trụ?,OUT_OF_SCOPE
Ai sáng tác bài Tiến Quân Ca zạ?,OUT_OF_SCOPE
Ai là người tìm ra châu Mỹ? Columbus đúng hem?,OUT_OF_SCOPE
Thủ đô của nước Úc là Sydney hay Canberra?,OUT_OF_SCOPE
Ai là người đầu tiên nghĩ ra số 0?,OUT_OF_SCOPE
Hnay ăn gì cho đỡ chán nhỉ?,OUT_OF_SCOPE
Quanh trường có quán nào ăn trưa healthy không bro?,OUT_OF_SCOPE
Phở cuốn ở đâu ngon nhức nách vậy?,OUT_OF_SCOPE
Chiều nay trà sữa chỗ nào saleee?,OUT_OF_SCOPE
Có ai biết chỗ nào bán bánh tráng trộn ngon mà rẻ hem?,OUT_OF_SCOPE
Ăn lẩu riêu cua đồng chỗ nào chuẩn vị ta?,OUT_OF_SCOPE
"Mấy nay trời lạnh, ăn gì nóng hổi cho ấm bụng nhỉ?",OUT_OF_SCOPE
Gợi ý cho tui một món ăn vặt gây nghiện đi mấy bạn ơiii.,OUT_OF_SCOPE
Bún đậu mắm tôm chỗ nào best seller?,OUT_OF_SCOPE
Có ai biết quán cơm tấm sườn bì chả nào đỉnh kout không?,OUT_OF_SCOPE
Ăn pizza ở đâu vừa ngon vừa chill?,OUT_OF_SCOPE
"Hôm nay thèm đồ ngọt quá, recommend quán bánh nào đi ạ?",OUT_OF_SCOPE
Quán ốc nào vừa tươi vừa rẻ quanh đây?,OUT_OF_SCOPE
"Đang muốn thử món mới, có ai biết chỗ nào có món độc lạ không?",OUT_OF_SCOPE
Ăn chay ở đâu ngon mà không bị ngán?,OUT_OF_SCOPE
Hôm nay có ai rủ đi ăn vặt không? Tui bao!,OUT_OF_SCOPE
"Mấy nay stress quá, ăn gì cho vui vẻ lại nhỉ?",OUT_OF_SCOPE
Ăn gà rán ở đâu mới ra món mới hot hit?,OUT_OF_SCOPE
Có ai biết chỗ nào bán nem chua rán chuẩn Hà Nội không?,OUT_OF_SCOPE
Ăn mì cay cấp độ nào thì vừa đủ đô ta?,OUT_OF_SCOPE
"Tui buồn quá, trường có dịch vụ tư vấn tình cảm ko zậy?",OUT_OF_SCOPE
"Ế lâu năm quá, làm sao để thoát ế đây trường ơi?",OUT_OF_SCOPE
"Tui crush 1 bạn khóa trên mà ko dám ngỏ lời, cho tui xin ít tips đi ạ!",OUT_OF_SCOPE
Trường mình có clb hẹn hò ko ta?,OUT_OF_SCOPE
"FA riết rồi stress quá, trường có lớp học yêu đương nào ko?",OUT_OF_SCOPE
"Tui tự ti về ngoại hình, làm sao để tự tin hơn khi đi tán gái/trai ạ?",OUT_OF_SCOPE
Làm sao để biết người ta có thích mình ko?,OUT_OF_SCOPE
"Tui tỏ tình thất bại rồi, giờ phải làm sao đây huhu?",OUT_OF_SCOPE
Có nên chủ động nhắn tin cho crush trước ko ạ?,OUT_OF_SCOPE
"Tui hay bị ghosted, có phải do tui nhạt quá ko?",OUT_OF_SCOPE
Làm sao để giữ lửa tình yêu khi yêu xa?,OUT_OF_SCOPE
"Tui với người yêu hay cãi nhau vặt, làm sao để giải quyết mâu thuẫn ạ?",OUT_OF_SCOPE
"Tui đang crush bạn thân, có nên thổ lộ ko ta?",OUT_OF_SCOPE
Làm sao để quên người yêu cũ đây trường ơi?,OUT_OF_SCOPE
"Yêu rồi mới phát hiện người ta toxic, có nên chia tay ko?",OUT_OF_SCOPE
"Tui sợ yêu vì sợ tổn thương, phải làm sao để vượt qua nỗi sợ này?",OUT_OF_SCOPE
"Tui thấy cô đơn quá, làm sao để tìm thấy ý nghĩa cuộc sống?",OUT_OF_SCOPE
"How to ""get a girlfriend/boyfriend"" nhanh nhất?",OUT_OF_SCOPE
"Tui muốn tìm ""sugar daddy/mommy"" ở trường mình thì tìm ở đâu ạ? (Just kidding :D)",OUT_OF_SCOPE
"Help me, tui đang rơi vào ""friendzone"" rồi!",OUT_OF_SCOPE
"Asdfghjk, trường mình có CLB đánh vần kiểu này ko zạ?",OUT_OF_SCOPE
Test thử xem bot có hiểu mấy cái random characters ko nè.,OUT_OF_SCOPE
Bla bla bla... bot có thấy tui đang nói j hok?,OUT_OF_SCOPE
"Gõ ""spam spam spam"" có bị ban nick ko ta? :))",OUT_OF_SCOPE
"""Lmao lmao lmao"" có tính là spam ko bot?",OUT_OF_SCOPE
"""111111111111"" spam số thì sao nhể?",OUT_OF_SCOPE
"""aaaaaaaaaaaa"" spam chữ cái có bị gì ko?",OUT_OF_SCOPE
"""qwertyuiop"" có ý nghĩa j ko bot?",OUT_OF_SCOPE
"""zxcvbnm"" ai giải thích dùm cái coi?",OUT_OF_SCOPE
"""asdf"" ngắn gọn xúc tích, bot thấy sao?",OUT_OF_SCOPE
"""fghjkl"" có ai thích gõ cái này ko?",OUT_OF_SCOPE
"""tyuiop"" ai hay gõ cái này điểm danh!",OUT_OF_SCOPE
"Mình gõ ""random text generator"" ở đây có bị sao ko?",OUT_OF_SCOPE
"""This is a test"" bằng tiếng Anh thì bot có hiểu hơn ko?",OUT_OF_SCOPE
"""hehehehe"" có bị coi là annoying ko bot?",OUT_OF_SCOPE
"""hihihihi"" khác ""hehehehe"" chỗ nào?",OUT_OF_SCOPE
"""kakakaka"" có ai hay cười kiểu này ko?",OUT_OF_SCOPE
"""lolololol"" liệu có quá khích?",OUT_OF_SCOPE
"""omgomgomg"" khi nào thì mình nên dùng?",OUT_OF_SCOPE
"Mình gõ ""I am spamming"" thì bot sẽ làm gì? :D",OUT_OF_SCOPE
